index,timestamp,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,image,pose
0,20260918_144614,-159.016,700.228,773.722,179.9754,0.0015,-0.0033,samples/0000_image.png,samples/0000_pose.npz
1,20260918_144616,-159.013,700.333,773.562,-170.0366,0.0020,-0.0032,samples/0001_image.png,samples/0001_pose.npz
2,20260918_144619,-159.013,700.358,773.593,169.9650,0.0000,-0.0051,samples/0002_image.png,samples/0002_pose.npz
3,20260918_144621,-159.012,700.335,773.575,179.9658,-10.0050,0.0011,samples/0003_image.png,samples/0003_pose.npz
4,20260918_144624,-159.015,700.321,773.549,179.9600,10.0043,-0.0080,samples/0004_image.png,samples/0004_pose.npz
5,20260918_144626,-159.023,700.347,773.596,179.9647,-0.0080,-10.0052,samples/0005_image.png,samples/0005_pose.npz
6,20260918_144629,-159.017,700.345,773.600,179.9662,0.0077,9.9971,samples/0006_image.png,samples/0006_pose.npz
7,20260918_144653,-297.022,681.500,189.361,179.4573,2.4292,-0.1903,samples/0007_image.png,samples/0007_pose.npz
8,20260918_144658,-343.451,751.841,160.540,170.5363,-7.5657,30.0271,samples/0008_image.png,samples/0008_pose.npz
9,20260918_144703,-401.467,840.597,203.865,157.6370,2.1211,-2.8630,samples/0009_image.png,samples/0009_pose.npz
10,20260918_144710,-571.219,767.102,157.357,171.5855,-3.7205,-30.8797,samples/0010_image.png,samples/0010_pose.npz
11,20260918_144714,-571.212,677.778,101.273,-177.7847,1.7549,-29.9758,samples/0011_image.png,samples/0011_pose.npz
12,20260918_144810,-297.029,681.520,189.110,179.4373,2.4227,-0.1935,samples/0012_image.png,samples/0012_pose.npz
13,20260918_144813,-297.029,681.515,188.954,-170.5746,2.4160,-0.1954,samples/0013_image.png,samples/0013_pose.npz
14,20260918_144815,-297.037,681.543,188.997,169.4295,2.4224,-0.1937,samples/0014_image.png,samples/0014_pose.npz
15,20260918_144818,-297.024,681.518,188.961,179.4260,-7.5819,-0.0959,samples/0015_image.png,samples/0015_pose.npz
16,20260918_144821,-297.031,681.510,188.959,179.4140,12.4228,-0.2946,samples/0016_image.png,samples/0016_pose.npz
17,20260918_144823,-297.037,681.541,188.996,179.0161,2.2838,-10.2023,samples/0017_image.png,samples/0017_pose.npz
18,20260918_144826,-297.039,681.532,188.982,179.8580,2.4847,9.8174,samples/0018_image.png,samples/0018_pose.npz
19,20260918_144840,-428.148,658.041,-73.901,-179.9630,-0.2479,-0.3887,samples/0019_image.png,samples/0019_pose.npz
20,20260918_144844,-431.020,563.049,-49.743,-167.9935,-0.1085,0.1087,samples/0020_image.png,samples/0020_pose.npz
21,20260918_144848,-435.126,534.018,45.864,-167.9987,-0.1103,0.1090,samples/0021_image.png,samples/0021_pose.npz
22,20260918_144854,-393.602,675.458,45.467,172.2670,-12.6809,29.2845,samples/0022_image.png,samples/0022_pose.npz
23,20260918_144858,-418.546,667.190,141.968,172.2711,-12.6751,29.2760,samples/0023_image.png,samples/0023_pose.npz
24,20260918_144904,-437.525,839.026,112.580,158.0317,-0.3969,-1.2316,samples/0024_image.png,samples/0024_pose.npz
25,20260918_144908,-441.534,868.484,208.095,158.0356,-0.3979,-1.2236,samples/0025_image.png,samples/0025_pose.npz
26,20260918_144914,-577.122,807.353,169.855,170.2284,-3.4395,-30.6811,samples/0026_image.png,samples/0026_pose.npz
27,20260918_144918,-572.919,794.929,70.680,170.2228,-3.4386,-30.6769,samples/0027_image.png,samples/0027_pose.npz
28,20260918_144922,-571.081,695.478,24.137,-179.4324,2.6413,-30.2378,samples/0028_image.png,samples/0028_pose.npz
29,20260918_144926,-575.336,687.016,123.725,-179.4348,2.6405,-30.2383,samples/0029_image.png,samples/0029_pose.npz
30,20260918_144938,-290.430,484.573,-17.569,-162.4327,-12.9269,27.8847,samples/0030_image.png,samples/0030_pose.npz
31,20260918_144942,-286.575,529.778,-106.703,-162.4328,-12.9242,27.8813,samples/0031_image.png,samples/0031_pose.npz
